Yield_mean,Predicted_Yield,Prediction_Uncertainty,Crop_type,FIELDID,Week
1.81,3.9608526,0.6639081,Maize,FS104711,29
1.81,3.4976041,0.85673577,Maize,FS104711,32
1.81,2.1961746,0.46968403,Maize,FS104711,36
1.81,2.572292,0.52302796,Maize,FS104711,38
1.81,2.2479417,0.60383576,Maize,FS104711,39
1.81,2.2916012,0.47080877,Maize,FS104711,41
1.81,2.157225,0.47586203,Maize,FS104711,43
1.81,2.5612073,0.59253156,Maize,FS104711,48
3.15,3.665266,0.3635091,Maize,FS104711,6
3.15,3.521103,0.36448735,Maize,FS104711,7
3.15,4.0507927,0.32097232,Maize,FS104711,11
3.15,2.7390366,0.3402453,Maize,FS104711,14
3.15,3.5591257,0.25722125,Maize,FS104711,18
3.15,3.1127408,0.34174246,Maize,FS104711,21
3.15,3.1724622,0.4116445,Maize,FS104711,23
3.15,3.7942371,0.45342967,Maize,FS104711,26
3.15,3.7865405,0.424339,Maize,FS104711,28
3.15,3.7745986,0.3498318,Maize,FS104711,30
3.15,3.9322987,0.40419862,Maize,FS104711,31
3.15,3.1182778,0.3079036,Maize,FS104711,33
3.15,3.0533428,0.44177485,Maize,FS104711,40
3.15,3.3422053,0.40841678,Maize,FS104711,42
3.15,4.050262,0.33866873,Maize,FS104711,47
3.15,3.526467,0.29806912,Maize,FS104711,50
4.96,5.2916203,0.26417023,Maize,FS105305,11
4.96,5.923258,0.42888126,Maize,FS105305,15
4.96,5.886431,0.41236916,Maize,FS105305,17
4.96,5.5383906,0.30400443,Maize,FS105305,18
4.96,5.34269,0.32507062,Maize,FS105305,20
4.96,5.0687666,0.20713463,Maize,FS105305,23
4.96,5.0840364,0.26951128,Maize,FS105305,25
4.96,5.287534,0.35049874,Maize,FS105305,27
4.96,5.5307245,0.4648422,Maize,FS105305,30
4.96,5.408256,0.35383978,Maize,FS105305,34
4.96,5.715177,0.4288265,Maize,FS105305,37
4.96,5.334405,0.4741613,Maize,FS105305,39
4.96,5.619771,0.49275663,Maize,FS105305,41
4.96,5.4109373,0.40455887,Maize,FS105305,46
4.96,5.439073,0.6574642,Maize,FS105305,47
6.71,6.346135,0.3176171,Maize,FS105305,7
6.71,6.1543164,0.29231152,Maize,FS105305,9
6.71,6.199263,0.33749837,Maize,FS105305,10
6.71,6.5226398,0.21456802,Maize,FS105305,14
6.71,6.782649,0.2490063,Maize,FS105305,17
6.71,6.6444445,0.28016883,Maize,FS105305,21
6.71,6.301218,0.23233409,Maize,FS105305,24
6.71,6.7765913,0.19249348,Maize,FS105305,26
6.71,6.7203298,0.23168454,Maize,FS105305,27
6.71,6.785467,0.3041155,Maize,FS105305,29
6.71,6.902004,0.26686913,Maize,FS105305,33
6.71,6.854799,0.25288197,Maize,FS105305,34
6.71,6.729734,0.2922438,Maize,FS105305,36
6.71,6.751705,0.2807039,Maize,FS105305,39
6.71,6.5938005,0.28752488,Maize,FS105305,45
6.71,6.5376725,0.24313526,Maize,FS105305,46
6.71,6.6976514,0.2811186,Maize,FS105305,50
6.71,6.006567,0.42971978,Maize,FS105305,52
8.9,8.548884,0.37489226,Maize,FS105353,6
8.9,8.547831,0.2738023,Maize,FS105353,7
8.9,8.514711,0.20367448,Maize,FS105353,11
8.9,8.256593,0.3293899,Maize,FS105353,14
8.9,8.012074,0.5035368,Maize,FS105353,19
8.9,7.8681707,0.49370265,Maize,FS105353,21
8.9,7.303972,0.49727815,Maize,FS105353,24
8.9,8.072709,0.56563914,Maize,FS105353,26
8.9,7.608933,0.46711332,Maize,FS105353,30
8.9,7.5656343,0.5096906,Maize,FS105353,33
8.9,7.8685455,0.41369742,Maize,FS105353,35
8.9,8.048331,0.3778252,Maize,FS105353,36
8.9,8.19115,0.26974955,Maize,FS105353,38
8.9,8.262314,0.29851547,Maize,FS105353,40
8.9,8.032975,0.37847054,Maize,FS105353,42
8.9,8.048517,0.36737826,Maize,FS105353,48
8.9,8.495541,0.39038247,Maize,FS105353,52
4.68,4.740178,0.1700635,Maize,FS105353,3
4.68,4.801976,0.21478164,Maize,FS105353,19
4.68,4.751672,0.22776033,Maize,FS105353,20
4.68,4.96268,0.32978603,Maize,FS105353,22
4.68,4.476823,0.22363086,Maize,FS105353,26
4.68,4.6528254,0.2873364,Maize,FS105353,27
4.68,5.2917356,0.31380397,Maize,FS105353,29
4.68,4.8244576,0.2166254,Maize,FS105353,32
4.68,4.2648726,0.32561347,Maize,FS105353,36
4.68,4.9857564,0.32211107,Maize,FS105353,38
4.68,5.0305066,0.26202983,Maize,FS105353,39
4.68,5.1382256,0.2738489,Maize,FS105353,41
4.68,4.92824,0.25680134,Maize,FS105353,43
4.68,4.769107,0.21863958,Maize,FS105353,48
6.57,5.542486,0.26085445,Maize,FS105353,11
6.57,6.135995,0.22608319,Maize,FS105353,15
6.57,6.0041223,0.20391063,Maize,FS105353,17
6.57,5.702921,0.24682643,Maize,FS105353,18
6.57,6.517523,0.4584864,Maize,FS105353,20
6.57,6.548839,0.3613833,Maize,FS105353,23
6.57,6.716638,0.3270101,Maize,FS105353,25
6.57,6.293252,0.35510835,Maize,FS105353,27
6.57,6.808779,0.31175593,Maize,FS105353,30
6.57,6.468553,0.34651145,Maize,FS105353,34
6.57,6.714739,0.31610212,Maize,FS105353,37
6.57,6.2237244,0.2665551,Maize,FS105353,39
6.57,6.60088,0.3156842,Maize,FS105353,41
6.57,6.4303594,0.27160683,Maize,FS105353,46
6.57,6.3675733,0.36160916,Maize,FS105353,47
8.06,7.948643,0.18692863,Maize,FS105353,7
8.06,8.01514,0.1971306,Maize,FS105353,9
8.06,7.8707466,0.24261189,Maize,FS105353,10
8.06,7.502648,0.2692783,Maize,FS105353,14
8.06,7.317368,0.1989273,Maize,FS105353,17
8.06,7.7837105,0.1870863,Maize,FS105353,21
8.06,7.3953304,0.21532229,Maize,FS105353,24
8.06,7.75847,0.1817332,Maize,FS105353,26
8.06,7.7332287,0.20283012,Maize,FS105353,27
8.06,7.529127,0.20735309,Maize,FS105353,29
8.06,7.5591297,0.20500337,Maize,FS105353,33
8.06,7.508298,0.24710718,Maize,FS105353,34
8.06,7.5447955,0.20355916,Maize,FS105353,36
8.06,7.7031336,0.20339571,Maize,FS105353,39
8.06,7.829287,0.18207659,Maize,FS105353,45
8.06,7.844554,0.2817251,Maize,FS105353,46
8.06,7.6505656,0.19514786,Maize,FS105353,50
8.06,7.2994814,0.39069772,Maize,FS105353,52
6.49,5.5924864,0.44667393,Maize,FS105389,6
6.49,5.93847,0.27788487,Maize,FS105389,7
6.49,5.49928,0.62122184,Maize,FS105389,11
6.49,5.659077,0.3325259,Maize,FS105389,14
6.49,6.4807634,0.47001716,Maize,FS105389,19
6.49,6.2896132,0.42245322,Maize,FS105389,21
6.49,6.2049065,0.44607857,Maize,FS105389,24
6.49,6.829195,0.40872937,Maize,FS105389,26
6.49,6.539351,0.3764378,Maize,FS105389,30
6.49,6.281255,0.43089706,Maize,FS105389,35
6.49,6.6234236,0.49063385,Maize,FS105389,36
6.49,6.3739734,0.3653619,Maize,FS105389,38
6.49,6.429216,0.38385236,Maize,FS105389,40
6.49,6.3555274,0.3266443,Maize,FS105389,42
6.49,6.252376,0.40666404,Maize,FS105389,48
6.49,6.2262225,0.55703056,Maize,FS105389,52
2.17,3.507062,0.4959748,Maize,FS105401,6
2.17,4.055886,0.60166866,Maize,FS105401,7
2.17,3.2957373,0.6275511,Maize,FS105401,11
2.17,4.21765,0.64693373,Maize,FS105401,14
2.17,4.3400817,0.8305754,Maize,FS105401,19
2.17,4.788138,0.59859776,Maize,FS105401,21
2.17,4.369733,0.6369137,Maize,FS105401,24
2.17,3.8823962,1.2003158,Maize,FS105401,26
2.17,4.2407618,0.7890574,Maize,FS105401,30
2.17,3.9189787,0.6592749,Maize,FS105401,33
2.17,3.5456393,0.624279,Maize,FS105401,35
2.17,3.2557611,0.7476085,Maize,FS105401,36
2.17,2.9480495,0.62699735,Maize,FS105401,38
2.17,3.3838687,0.76214486,Maize,FS105401,40
2.17,3.8788724,1.0287744,Maize,FS105401,42
2.17,2.7767577,0.6330003,Maize,FS105401,48
2.17,3.3923142,0.8062647,Maize,FS105401,52
2.54,3.431395,0.6778376,Maize,FS105555,6
2.54,4.129149,0.5325644,Maize,FS105555,7
2.54,3.9413989,0.6882109,Maize,FS105555,11
2.54,4.5213647,0.46726578,Maize,FS105555,14
2.54,3.984316,0.81550044,Maize,FS105555,19
2.54,4.9027476,0.6318545,Maize,FS105555,21
2.54,4.574661,0.620341,Maize,FS105555,24
2.54,3.9632306,0.9244821,Maize,FS105555,26
2.54,4.393742,0.72530824,Maize,FS105555,30
2.54,4.5232463,0.8244561,Maize,FS105555,33
2.54,4.200647,0.7675613,Maize,FS105555,35
2.54,3.9734564,1.0320615,Maize,FS105555,36
2.54,4.149357,0.6462651,Maize,FS105555,38
2.54,4.2615876,0.733097,Maize,FS105555,40
2.54,3.80078,0.69971424,Maize,FS105555,42
2.54,3.7195978,0.7831384,Maize,FS105555,48
2.54,4.6580343,1.29146,Maize,FS105555,52
2.44,2.5810974,0.41340372,Maize,FS105555,3
2.44,2.9615269,0.36243686,Maize,FS105555,19
2.44,3.7896802,0.36161157,Maize,FS105555,20
2.44,4.087167,0.5381317,Maize,FS105555,22
2.44,3.735955,0.4055236,Maize,FS105555,26
2.44,3.6808374,0.4776868,Maize,FS105555,27
2.44,4.5045652,0.88325006,Maize,FS105555,29
2.44,3.445816,0.5283777,Maize,FS105555,32
2.44,3.034385,0.60739136,Maize,FS105555,36
2.44,3.2404335,0.45419365,Maize,FS105555,38
2.44,2.58444,0.39420685,Maize,FS105555,39
2.44,2.7068198,0.47558078,Maize,FS105555,41
2.44,2.7807684,0.521825,Maize,FS105555,43
2.44,3.3007498,0.6226325,Maize,FS105555,48
2.91,3.5268993,0.40540367,Maize,FS105555,6
2.91,3.314109,0.3881845,Maize,FS105555,7
2.91,3.7564738,0.33438346,Maize,FS105555,11
2.91,2.6960897,0.3025769,Maize,FS105555,14
2.91,3.3899462,0.3010196,Maize,FS105555,18
